City,restaurant_count,average_rating,average_cost_for_two
New Delhi,5473,2.4388452402704184,596.0880687008953
Gurgaon,1118,2.6514311270125224,714.0161001788908
Noida,1080,2.0362037037037037,539.4907407407408
Faridabad,251,1.8669322709163347,447.60956175298804
Ghaziabad,25,2.852,602.0
Bhubaneshwar,21,3.9809523809523806,678.5714285714286
Lucknow,21,4.1952380952380945,859.5238095238095
Guwahati,21,4.190476190476191,821.4285714285714
Ahmedabad,21,4.161904761904762,857.1428571428571
Amritsar,21,3.6857142857142855,480.95238095238096
Abu Dhabi,20,4.3,182.0
Albany,20,3.5549999999999997,19.75
Agra,20,3.965,1065.0
Savannah,20,4.154999999999999,32.5
Surat,20,3.935,812.5
Augusta,20,4.13,27.0
Aurangabad,20,3.375,622.5
Auckland,20,4.275,68.25
Athens,20,4.2,19.0
Ankara,20,4.305,87.25
Allahabad,20,3.3950000000000005,517.5
Chennai,20,4.3149999999999995,1085.0
Des Moines,20,4.235,28.0
Davenport,20,3.715,25.25
Dehradun,20,4.05,727.5
Boise,20,4.26,27.25
Cedar Rapids/Iowa City,20,4.165,25.75
Birmingham,20,3.6799999999999997,39.0
Bangalore,20,4.375,1232.5
Edinburgh,20,4.09,38.5
Doha,20,4.0600000000000005,223.75
Dubuque,20,3.535,23.75
Dubai,20,4.37,211.75
Dalton,20,4.11,16.0
Macon,20,4.115,27.25
Ludhiana,20,3.9799999999999995,1160.0
London,20,4.535,64.5
Gainesville,20,4.035,21.25
Jaipur,20,4.13,1310.0
Indore,20,3.97,960.0
Goa,20,4.245,1175.0
Colombo,20,3.87,2375.0
Columbus,20,4.029999999999999,26.75
Cape Town,20,4.11,297.2
Bhopal,20,3.95,620.0
Kochi,20,4.08,730.0
Kolkata,20,4.255,1272.5
Kanpur,20,3.815,915.0
Manchester,20,4.045,49.25
Mangalore,20,3.745,782.5
Sioux City,20,3.7649999999999997,24.25
Singapore,20,3.575,155.75
S��o Paulo,20,3.53,157.25
Tampa Bay,20,4.41,34.75
Varanasi,20,3.5100000000000002,505.0
Wellington City,20,4.25,71.25
Waterloo,20,3.65,21.25
Vizag,20,4.005,780.0
Vadodara,20,4.025,820.0
Valdosta,20,3.715,29.25
Sharjah,20,4.029999999999999,105.5
Rest of Hawaii,20,4.41,31.75
Rio de Janeiro,20,4.265,126.75
Pretoria,20,4.1899999999999995,492.25
Pensacola,20,4.2,30.25
Puducherry,20,3.7299999999999995,842.5
Pune,20,4.220000000000001,1337.5
Pocatello,20,3.4850000000000003,20.75
Ranchi,20,3.4549999999999996,735.0
Patna,20,3.4549999999999996,797.5
Orlando,20,4.475,40.25
Nashik,20,3.5200000000000005,662.5
Mysore,20,3.6950000000000003,814.5
Nagpur,20,3.965,715.0
Mumbai,20,4.085,1072.5
Coimbatore,20,4.135,782.5
Bras�_lia,20,3.495,120.0
Hyderabad,18,4.344444444444445,1361.111111111111
Chandigarh,18,4.050000000000001,1072.2222222222222
Jakarta,16,4.35625,308437.5
��stanbul,14,4.292857142857143,81.42857142857143
Sandton,11,4.3,375.90909090909093
Johannesburg,6,4.2,470.0
Mandaluyong City,4,4.625,2000.0
Taguig City,4,4.525,1725.0
Pasay City,3,4.366666666666667,3333.3333333333335
Pasig City,3,4.633333333333334,933.3333333333334
Bogor,2,3.85,160000.0
Inner City,2,4.9,1120.0
Secunderabad,2,4.5,825.0
Tangerang,2,4.300000000000001,250000.0
Santa Rosa,2,3.8,825.0
San Juan City,2,4.25,850.0
Hepburn Springs,2,3.8,13.5
Makati City,2,4.65,1150.0
Balingup,1,3.2,20.0
Armidale,1,3.5,20.0
Cochrane,1,3.1,25.0
Beechworth,1,4.6,20.0
Huskisson,1,4.1,20.0
Inverloch,1,3.7,7.0
Forrest,1,3.7,20.0
Clatskanie,1,4.3,10.0
Chatham-Kent,1,3.7,25.0
Bandung,1,4.2,150000.0
Consort,1,3.0,25.0
Dicky Beach,1,3.6,7.0
East Ballina,1,4.1,20.0
Fernley,1,3.7,10.0
Macedon,1,3.5,20.0
Lakeview,1,3.6,10.0
Lincoln,1,4.5,25.0
Lorn,1,3.6,20.0
Lakes Entrance,1,3.8,7.0
Flaxton,1,3.5,30.0
Penola,1,3.4,20.0
Mayfield,1,2.9,20.0
Montville,1,2.4,30.0
Monroe,1,3.6,25.0
Mohali,1,4.3,550.0
Miller,1,3.4,0.0
Mc Millan,1,2.4,10.0
Middleton Beach,1,3.8,30.0
Ojo Caliente,1,3.6,40.0
Palm Cove,1,4.4,30.0
Quezon City,1,4.8,800.0
Princeton,1,4.0,70.0
Potrero,1,3.3,25.0
Phillip Island,1,3.7,20.0
Panchkula,1,4.2,2000.0
Paynesville,1,2.6,120.0
Tagaytay City,1,4.5,1200.0
Randburg,1,4.3,200.0
Victor Harbor,1,3.6,20.0
Vernonia,1,4.3,10.0
Tanunda,1,4.4,30.0
Trentham East,1,4.1,20.0
Weirton,1,3.9,25.0
Vineland Station,1,4.3,70.0
Winchester Bay,1,3.2,25.0
Yorkton,1,3.3,25.0
